"","X","Company","TypeName","Inches","ScreenResolution","Cpu","Ram..GB.","Memory","Gpu","OpSys","Weight.KG.","Price","Price_in_USD"
"23",1299,"Lenovo","2 in 1 Convertible",13.3,"IPS Panel Quad HD+ / Touchscreen 3200x1800","Intel Core i7 6500U 2.5GHz",16,"512GB SSD","Intel HD Graphics 520","Windows 10",1.3,79866.72,1038.26736
"24",1279,"Lenovo","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz",8,"1TB HDD","Nvidia GeForce GTX 960M","Windows 10",2.6,47898.72,622.68336
"25",624,"HP","Notebook",15.6,"1366x768","Intel Core i5 6200U 2.3GHz",4,"500GB HDD","Intel HD Graphics 520","Windows 7",1.88,49656.96,645.54048
"26",75,"Asus","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"1TB HDD","Nvidia GeForce GTX 1050","Windows 10",2.2,50562.72,657.31536
"27",89,"Dell","Ultrabook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD","Intel UHD Graphics 620","Windows 10",1.21,87858.72,1142.16336
"28",628,"Asus","2 in 1 Convertible",13.3,"Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz",6,"1TB HDD","Intel HD Graphics 620","Windows 10",1.5,34046.4528,442.6038864
"29",209,"Lenovo","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",2.2,31808.16,413.50608
"30",1191,"Samsung","2 in 1 Convertible",12.3,"IPS Panel Touchscreen 2400x1600","Samsung Cortex A72&A53 2.0GHz",4,"32GB Flash Storage","ARM Mali T860 MP4","Chrome OS",1.15,35111.52,456.44976
"31",395,"HP","Ultrabook",15.6,"Full HD 1920x1080","AMD A9-Series 9420 3GHz",4,"256GB SSD","AMD Radeon 520","Windows 10",1.91,26586.72,345.62736
"32",228,"Asus","Notebook",17.3,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD +  500GB HDD","Nvidia GeForce GTX 950M","Windows 10",2.69,47472.48,617.14224
"33",1159,"HP","2 in 1 Convertible",13.3,"Touchscreen 2560x1440","Intel Core i7 6600U 2.6GHz",8,"512GB SSD","Intel HD Graphics 520","Windows 10",1.48,108744.48,1413.67824
"34",58,"MSI","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  2TB HDD","Nvidia GeForce GTX 1070","Windows 10",2.43,130482.72,1696.27536
"35",887,"Asus","Gaming",17.3,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",12,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10",2.2,72988.272,948.847536
"36",870,"Lenovo","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz",4,"500GB HDD","Intel HD Graphics 620","Windows 10",2.38,56210.4,730.7352
"37",1126,"Lenovo","2 in 1 Convertible",10.1,"IPS Panel Touchscreen 1920x1200","Intel Atom x5-Z8550 1.44GHz",4,"64GB Flash Storage","Intel HD Graphics 400","Windows 10",0.69,25521.12,331.77456
"38",446,"Acer","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz",4,"500GB HDD","Intel HD Graphics 620","Linux",2.4,23539.104,306.008352
"39",100,"HP","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","AMD Radeon 530","Windows 10",1.91,38308.32,498.00816
"40",133,"Acer","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 7130U 2.7GHz",4,"256GB SSD","Nvidia GeForce MX130","Windows 10",2.2,30476.16,396.19008
"41",525,"Lenovo","Notebook",14,"Full HD 1920x1080","Intel Core i5 6200U 2.3GHz",8,"256GB SSD","Intel HD Graphics 520","Windows 7",2.02,71395.2,928.1376
"42",3,"Apple","Ultrabook",15.4,"IPS Panel Retina Display 2880x1800","Intel Core i7 2.7GHz",16,"512GB SSD","AMD Radeon Pro 455","macOS",1.83,135195.336,1757.539368
"43",1050,"Lenovo","Notebook",14,"IPS Panel 2560x1440","Intel Core i7 6600U 2.6GHz",16,"256GB SSD","Intel HD Graphics 520","Windows 7",1.1,139593.6,1814.7168
"44",788,"Acer","Gaming",17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10",4.2,122490.72,1592.37936
"45",1019,"HP","Notebook",14,"Full HD 1920x1080","Intel Core i7 6500U 2.5GHz",8,"256GB SSD","Intel HD Graphics 520","Windows 10",1.43,118761.12,1543.89456
"46",606,"Toshiba","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 6500U 2.5GHz",8,"256GB SSD","Intel HD Graphics 520","Windows 10",2.2,74538.72,969.00336
"47",985,"Dell","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz",4,"500GB HDD","AMD Radeon R5 M430","Windows 10",2.25,31914.72,414.89136
"48",1245,"Asus","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10",2.5,85248,1108.224
"49",966,"Dell","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz",4,"500GB HDD","Intel HD Graphics 620","Windows 10",1.9,43956,571.428
"50",780,"Dell","Gaming",17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",32,"1TB SSD +  1TB HDD","Nvidia GeForce GTX 1070M","Windows 10",4.42,191211.264,2485.746432
"51",1018,"Toshiba","Notebook",14,"IPS Panel Full HD 1920x1080","Intel Core i5 6200U 2.3GHz",8,"256GB SSD","Intel HD Graphics 520","Windows 10",1.47,79387.2,1032.0336
"52",66,"HP","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz",4,"500GB HDD","AMD Radeon 520","Windows 10",1.86,23373.4032,303.8542416
"53",557,"Lenovo","Notebook",17.3,"1600x900","Intel Core i7 7500U 2.7GHz",6,"128GB SSD +  1TB HDD","Nvidia GeForce 940MX","Windows 10",2.8,50562.72,657.31536
"54",876,"Asus","Notebook",15.6,"1366x768","Intel Pentium Quad Core N4200 1.1GHz",4,"1TB HDD","Intel HD Graphics 505","Linux",2,21258.1872,276.3564336
"55",53,"HP","Notebook",13.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"512GB SSD","Intel UHD Graphics 620","Windows 10",1.49,58767.84,763.98192
"56",554,"HP","Notebook",17.3,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"1TB HDD","Nvidia GeForce 930MX","Windows 10",2.63,68198.4,886.5792
"57",168,"Acer","Notebook",17.3,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD","Nvidia GeForce MX150","Windows 10",3,45501.12,591.51456
"58",1249,"Dell","2 in 1 Convertible",13.3,"Quad HD+ / Touchscreen 3200x1800","Intel Core i5 7Y54 1.2GHz",8,"256GB SSD","Intel HD Graphics 615","Windows 10",1.24,96596.64,1255.75632
"59",951,"Dell","Ultrabook",14,"Full HD 1920x1080","Intel Core i7 7600U 2.8GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.36,94572,1229.436
"60",813,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"1TB HDD","Nvidia GeForce GT 940MX","Windows 10",1.98,51202.08,665.62704
"61",704,"Lenovo","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz",4,"500GB HDD","Intel HD Graphics 520","No OS",1.9,23976,311.688
"62",946,"Dell","Ultrabook",12.5,"Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Intel HD Graphics","Windows 10",1.36,78438.816,1019.704608
"63",819,"Dell","Notebook",14,"1366x768","Intel Core i5 6200U 2.3GHz",4,"500GB HDD","Intel HD Graphics 520","Windows 10",1.76,40226.4,522.9432
"64",542,"HP","Ultrabook",13.3,"IPS Panel Quad HD+ 3200x1800","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.34,61005.6,793.0728
"65",540,"Dell","Ultrabook",13.3,"Quad HD+ / Touchscreen 3200x1800","Intel Core i7 8550U 1.8GHz",8,"256GB SSD","Intel UHD Graphics 620","Windows 10",1.2,74538.72,969.00336
"66",199,"HP","Notebook",17.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD","Nvidia GeForce 930MX","Windows 10",2.5,55677.6,723.8088
"67",702,"Lenovo","Notebook",15.6,"1366x768","AMD A12-Series 9720P 3.6GHz",8,"1TB HDD","AMD Radeon R7","Windows 10",2.2,22857.12,297.14256
"68",180,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16,"256GB SSD +  2TB HDD","AMD Radeon 530","Linux",2.02,55890.72,726.57936
"69",679,"Acer","Gaming",15.6,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",16,"256GB SSD","Nvidia GeForce GTX 1050 Ti","Windows 10",2.5,69210.72,899.73936
"70",322,"Asus","Notebook",14,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",2,58288.32,757.74816
"71",843,"Dell","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz",8,"128GB SSD","Intel HD Graphics 620","Windows 10",2.18,38041.3872,494.5380336
"72",1221,"MSI","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz",8,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10",2.2,78647.1408,1022.4128304
"73",464,"Lenovo","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7820HQ 2.9GHz",8,"256GB SSD","Nvidia Quadro M2200M","Windows 10",2.67,111355.2,1447.6176
"74",577,"Lenovo","Gaming",17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 6820HK 2.7GHz",32,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10",4.6,141884.64,1844.50032
"75",932,"HP","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3060 1.6GHz",4,"1TB HDD","Intel HD Graphics 400","No OS",1.86,15392.592,200.103696
"76",1231,"Razer","Gaming",14,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"1TB SSD","Nvidia GeForce GTX 1060","Windows 10",1.95,186426.72,2423.54736
"77",341,"Lenovo","Notebook",15.6,"Full HD 1920x1080","AMD A12-Series 9720P 3.6GHz",12,"2TB HDD","AMD Radeon 530","Windows 10",2.2,47898.72,622.68336
"78",1020,"Dell","2 in 1 Convertible",15.6,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i3 6100U 2.3GHz",4,"1TB HDD","Intel HD Graphics 520","Windows 10",2.08,42410.3472,551.3345136
"79",718,"Mediacom","Notebook",14,"IPS Panel Full HD 1920x1200","Intel Atom Z8350 1.92GHz",4,"32GB HDD","Intel HD Graphics 400","Windows 10",1.4,14119.2,183.5496
"80",358,"Dell","Notebook",15.6,"Touchscreen 1366x768","Intel Core i5 7200U 2.5GHz",8,"2TB HDD","Intel HD Graphics 620","Windows 10",2.36,29696.6736,386.0567568
"81",412,"HP","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"1TB HDD","AMD Radeon 520","Windows 10",2.1,24988.32,324.84816
"82",64,"HP","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.86,36763.2,477.9216
"83",1049,"Asus","Netbook",11.6,"1366x768","Intel Celeron Dual Core N3060 1.6GHz",4,"16GB Flash Storage","Intel HD Graphics 400","Chrome OS",1.2,15339.312,199.411056
"84",506,"Asus","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD +  1TB HDD","Intel HD Graphics 620","Windows 10",2,65214.72,847.79136
"85",716,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7300U 2.6GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.9,62817.12,816.62256
"86",1168,"HP","Notebook",14,"1366x768","Intel Celeron Dual Core N3060 1.6GHz",2,"32GB Flash Storage","Intel HD Graphics 400","Windows 10",1.44,13266.72,172.46736
"87",513,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16,"256GB SSD +  2TB HDD","AMD Radeon 530","Windows 10",2.2,64961.1072,844.4943936
"88",608,"Lenovo","2 in 1 Convertible",15.6,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"256GB SSD","Intel HD Graphics 630","Windows 10",2,69210.72,899.73936
"89",1106,"MSI","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz",8,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 960M","Windows 10",2.9,80516.2032,1046.7106416
"90",1124,"Asus","Notebook",15.6,"1366x768","Intel Core i3 7100U 2.4GHz",4,"1TB HDD","Intel HD Graphics 620","Windows 10",2,23176.8,301.2984
"91",782,"Toshiba","Ultrabook",14,"IPS Panel Full HD 1920x1080","Intel Core i7 6600U 2.6GHz",16,"512GB SSD","Nvidia GeForce 930M","Windows 10",1.47,93985.92,1221.81696
"92",156,"Lenovo","2 in 1 Convertible",14,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i3 7100U 2.4GHz",4,"256GB SSD","Intel HD Graphics 620","Windows 10",1.74,33513.12,435.67056
"93",926,"Lenovo","Ultrabook",12.5,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.36,87912,1142.856
"94",16,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","AMD Radeon R5 M430","Windows 10",2.2,39693.6,516.0168
"95",37,"Dell","Notebook",17.3,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"128GB SSD +  1TB HDD","AMD Radeon 530","Windows 10",2.8,52161.12,678.09456
"96",823,"MSI","Gaming",15.6,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8,"256GB SSD","Nvidia GeForce GTX 1050","Windows 10",2.4,63882.72,830.47536
"97",900,"Dell","2 in 1 Convertible",13.3,"Quad HD+ / Touchscreen 3200x1800","Intel Core i7 7Y75 1.3GHz",8,"512GB SSD","Intel HD Graphics 615","Windows 10",1.24,107257.968,1394.353584
"98",1179,"HP","Notebook",15.6,"1366x768","Intel Core i3 6100U 2.3GHz",4,"500GB HDD","Intel HD Graphics 520","Windows 10",2.07,34632,450.216
"99",116,"HP","Notebook",14,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"512GB SSD","Intel UHD Graphics 620","Windows 10",1.63,57755.52,750.82176
"100",602,"Acer","Notebook",14,"Full HD 1920x1080","Intel Celeron Quad Core N3450 1.1GHz",4,"32GB Flash Storage","Intel HD Graphics 500","Windows 10",1.6,17529.12,227.87856
"101",894,"MSI","Gaming",17.3,"IPS Panel 4K Ultra HD 3840x2160","Intel Core i7 6700HQ 2.6GHz",16,"512GB SSD +  2TB HDD","Nvidia GeForce GTX 1060","Windows 10",2.43,141138.72,1834.80336
"102",940,"HP","Gaming",17.3,"IPS Panel Full HD 1920x1080","Intel Core i5 6300HQ 2.3GHz",8,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 965M","Windows 10",2.75,74538.72,969.00336
"103",1011,"HP","Ultrabook",12.5,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",4,"500GB HDD","Intel HD Graphics 620","Windows 10",1.26,81997.92,1065.97296
"104",423,"Asus","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 7100U 2.4GHz",8,"1TB HDD","Nvidia GeForce 940MX","Linux",2.3,31808.16,413.50608
"105",334,"Asus","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"256GB SSD","Nvidia GeForce GTX 1050","Windows 10",2.5,53226.72,691.94736
"106",71,"Dell","Ultrabook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD","AMD Radeon 530","Windows 10",1.4,50882.4,661.4712
"107",1204,"Asus","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz",8,"1TB HDD","Nvidia GeForce GTX 1060","Windows 10",2.2,62284.32,809.69616
"108",591,"Lenovo","Notebook",15.6,"Full HD 1920x1080","AMD A12-Series 9720P 3.6GHz",12,"512GB SSD","AMD Radeon 530","Windows 10",2.2,50562.72,657.31536
"109",1175,"Asus","Notebook",14,"Full HD 1920x1080","Intel Core i3 7100U 2.4GHz",4,"256GB SSD","Intel HD Graphics 620","Windows 10",2,40972.32,532.64016
"110",281,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2.0GHz",4,"1TB HDD","AMD Radeon R5 M430","Linux",2.25,22803.84,296.44992
"111",545,"HP","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 7100U 2.4GHz",4,"128GB SSD","Intel HD Graphics 620","Windows 10",2.1,37589.04,488.65752
"112",1009,"HP","Notebook",14,"1366x768","Intel Core i3 7100U 2.4GHz",4,"500GB HDD","Intel HD Graphics 620","Windows 10",1.64,36443.52,473.76576
"113",546,"Lenovo","Notebook",14,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",4,"500GB HDD","Intel HD Graphics 620","Windows 10",1.87,41824.8,543.7224
"114",67,"HP","Notebook",14,"1366x768","Intel Celeron Dual Core N3060 1.6GHz",4,"32GB SSD","Intel HD Graphics 400","Windows 10",1.44,12201.12,158.61456
"115",968,"Dell","Gaming",17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",32,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10",4.42,167778.72,2181.12336
"116",1109,"Asus","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz",16,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 960M","Windows 10",2.59,71341.92,927.44496
"117",463,"Lenovo","Notebook",14,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"512GB SSD","AMD Radeon R7 M460","No OS",1.5,42570.72,553.41936
"118",357,"Dell","Gaming",15.6,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8,"1TB HDD","Nvidia GeForce GTX 1050","Windows 10",2.65,53226.72,691.94736
"119",1298,"Lenovo","2 in 1 Convertible",14,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 6500U 2.5GHz",4,"128GB SSD","Intel HD Graphics 520","Windows 10",1.8,33992.64,441.90432
"120",928,"Dell","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz",4,"1TB HDD","Intel HD Graphics 620","Windows 10",2.18,37725.4368,490.4306784
"121",177,"MSI","Gaming",18.4,"Full HD 1920x1080","Intel Core i7 6920HQ 2.9GHz",32,"512GB SSD +  1TB HDD","Nvidia GTX 980 SLI","Windows 10",4.4,149130.72,1938.69936
"122",652,"Dell","Ultrabook",13.3,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD","Intel UHD Graphics 620","Windows 10",1.2,77250.672,1004.258736
"123",648,"Toshiba","Notebook",13.3,"Full HD 1920x1080","Intel Core i5 6200U 2.3GHz",8,"256GB SSD","Intel HD Graphics 520","Windows 10",1.2,64628.64,840.17232
"124",536,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD","AMD Radeon 530","Windows 10",2.2,42486.0048,552.3180624
"125",1194,"Dell","2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.6,63882.72,830.47536
"126",369,"HP","Ultrabook",14,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.36,93240,1212.12
"127",420,"Lenovo","2 in 1 Convertible",15.6,"IPS Panel 4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7700HQ 2.8GHz",16,"512GB SSD","Nvidia GeForce GTX 1050","Windows 10",2,101178.72,1315.32336
"128",288,"Lenovo","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10",2.5,62817.12,816.62256
"129",604,"Dell","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz",4,"1TB HDD","AMD Radeon R5 M420","Linux",2.18,24775.2,322.0776
"130",623,"Fujitsu","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",2.2,42570.72,553.41936
"131",424,"Dell","Gaming",17.3,"IPS Panel 2560x1440","Intel Core i7 7820HK 2.9GHz",16,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10",4.42,149130.72,1938.69936
"132",324,"Acer","Notebook",15.6,"1366x768","AMD A12-Series 9720P 2.7GHz",8,"256GB SSD","AMD Radeon RX 540","Windows 10",2.2,35111.52,456.44976
"133",373,"Lenovo","Notebook",17.3,"1600x900","AMD A8-Series 7410 2.2GHz",4,"128GB SSD","AMD Radeon R5","Windows 10",2.6,26053.92,338.70096
"134",583,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7600U 2.8GHz",16,"256GB SSD","Nvidia GeForce 930MX","Windows 10",1.93,81912.1392,1064.8578096
"135",700,"Dell","Gaming",15.6,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8,"1TB HDD","Nvidia GeForce GTX 1050","Windows 10",2.56,43636.32,567.27216
"136",992,"Lenovo","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3350 1.1GHz",4,"128GB SSD","Intel HD Graphics 500","No OS",1.9,14418.6336,187.4422368
"137",218,"Dell","Ultrabook",14,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD","Intel UHD Graphics 620","Windows 10",1.6,61218.72,795.84336
"138",479,"Toshiba","Notebook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.05,89084.16,1158.09408
"139",97,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"256GB SSD","AMD Radeon R5 M430","Linux",2.2,25840.8,335.9304
"140",977,"Asus","2 in 1 Convertible",15.6,"4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7500U 2.7GHz",16,"512GB SSD +  2TB HDD","Nvidia GeForce GTX 950M","Windows 10",2.3,95850.72,1246.05936
"141",391,"Asus","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10",3,84768.48,1101.99024
"142",512,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"1TB HDD","Intel HD Graphics 620","Windows 10",2.18,44542.08,579.04704
